Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan,Case Folding,Tokens,Stemmed,Filtered,Filtered_Text,Bigrams,Trigrams
Retno Wijayantie,2,"tolong masak aq mo nonton slalu gagal,perbaiki lah jgn mngecewakan,,atau suruh brhenti berlangganan?",2025-09-26 11:47:21,,0,b0cc316b-4621-487b-97a9-83e8cc00cd4c,"tolong masak aq mo nonton slalu gagal,perbaiki lah jgn mngecewakan,,atau suruh brhenti berlangganan?","['tolong', 'masak', 'aq', 'mo', 'nonton', 'slalu', 'gagal', ',', 'perbaiki', 'lah', 'jgn', 'mngecewakan', ',', ',atau', 'suruh', 'brhenti', 'berlangganan', '?']","['tolong', 'masak', 'aq', 'mo', 'nonton', 'slalu', 'gagal', ',', 'perbaiki', 'lah', 'jgn', 'mngecewakan', ',', ',atau', 'suruh', 'brhenti', 'berlangganan', '?']","['tolong', 'masak', 'aq', 'mo', 'nonton', 'slalu', 'gagal', 'perbaiki', 'lah', 'jgn', 'mngecewakan', 'suruh', 'brhenti', 'berlangganan']",tolong masak nonton slalu gagal perbaiki lah jgn mngecewakan suruh brhenti berlangganan,"[('tolong', 'masak'), ('masak', 'aq'), ('aq', 'mo'), ('mo', 'nonton'), ('nonton', 'slalu'), ('slalu', 'gagal'), ('gagal', 'perbaiki'), ('perbaiki', 'lah'), ('lah', 'jgn'), ('jgn', 'mngecewakan'), ('mngecewakan', 'suruh'), ('suruh', 'brhenti'), ('brhenti', 'berlangganan')]","[('tolong', 'masak', 'aq'), ('masak', 'aq', 'mo'), ('aq', 'mo', 'nonton'), ('mo', 'nonton', 'slalu'), ('nonton', 'slalu', 'gagal'), ('slalu', 'gagal', 'perbaiki'), ('gagal', 'perbaiki', 'lah'), ('perbaiki', 'lah', 'jgn'), ('lah', 'jgn', 'mngecewakan'), ('jgn', 'mngecewakan', 'suruh'), ('mngecewakan', 'suruh', 'brhenti'), ('suruh', 'brhenti', 'berlangganan')]"
Halimatus Sadiyah,2,kenapa anime one piece gak lengkap kecewa top up buat nonton biar hd malah gak lengkap sakit hatii tauuu,2025-09-26 11:26:53,,0,27e87945-deb3-4c16-ab0b-8cf6f3779315,kenapa anime one piece gak lengkap kecewa top up buat nonton biar hd malah gak lengkap sakit hatii tauuu,"['kenapa', 'anime', 'one', 'piece', 'gak', 'lengkap', 'kecewa', 'top', 'up', 'buat', 'nonton', 'biar', 'hd', 'malah', 'gak', 'lengkap', 'sakit', 'hatii', 'tauuu']","['kenapa', 'anim', 'one', 'piec', 'gak', 'lengkap', 'kecewa', 'top', 'up', 'buat', 'nonton', 'biar', 'hd', 'malah', 'gak', 'lengkap', 'sakit', 'hatii', 'tauuu']","['kenapa', 'anim', 'one', 'piec', 'gak', 'lengkap', 'kecewa', 'top', 'buat', 'nonton', 'biar', 'hd', 'malah', 'gak', 'lengkap', 'sakit', 'hatii', 'tauuu']",kenapa anim one piec gak lengkap kecewa top buat nonton biar malah gak lengkap sakit hatii tauuu,"[('kenapa', 'anim'), ('anim', 'one'), ('one', 'piec'), ('piec', 'gak'), ('gak', 'lengkap'), ('lengkap', 'kecewa'), ('kecewa', 'top'), ('top', 'buat'), ('buat', 'nonton'), ('nonton', 'biar'), ('biar', 'hd'), ('hd', 'malah'), ('malah', 'gak'), ('gak', 'lengkap'), ('lengkap', 'sakit'), ('sakit', 'hatii'), ('hatii', 'tauuu')]","[('kenapa', 'anim', 'one'), ('anim', 'one', 'piec'), ('one', 'piec', 'gak'), ('piec', 'gak', 'lengkap'), ('gak', 'lengkap', 'kecewa'), ('lengkap', 'kecewa', 'top'), ('kecewa', 'top', 'buat'), ('top', 'buat', 'nonton'), ('buat', 'nonton', 'biar'), ('nonton', 'biar', 'hd'), ('biar', 'hd', 'malah'), ('hd', 'malah', 'gak'), ('malah', 'gak', 'lengkap'), ('gak', 'lengkap', 'sakit'), ('lengkap', 'sakit', 'hatii'), ('sakit', 'hatii', 'tauuu')]"
Tio Tanio,1,login nya susah banget,2025-09-26 10:01:26,,0,40c02bfc-16ce-458a-b2d7-7be48ee175f9,login nya susah banget,"['login', 'nya', 'susah', 'banget']","['login', 'nya', 'susah', 'banget']","['login', 'nya', 'susah', 'banget']",login nya susah banget,"[('login', 'nya'), ('nya', 'susah'), ('susah', 'banget')]","[('login', 'nya', 'susah'), ('nya', 'susah', 'banget')]"
Khalisha Luthfia Rahman Nasution,1,saya buka netflix masi aman banget namun ketika saya ingin menonton dia loading terus padahal paket data saya kencang,2025-09-26 08:58:14,,0,358df4f7-678f-43c9-a093-42d50a6bbef1,saya buka netflix masi aman banget namun ketika saya ingin menonton dia loading terus padahal paket data saya kencang,"['saya', 'buka', 'netflix', 'masi', 'aman', 'banget', 'namun', 'ketika', 'saya', 'ingin', 'menonton', 'dia', 'loading', 'terus', 'padahal', 'paket', 'data', 'saya', 'kencang']","['saya', 'buka', 'netflix', 'masi', 'aman', 'banget', 'namun', 'ketika', 'saya', 'ingin', 'menonton', 'dia', 'load', 'teru', 'padah', 'paket', 'data', 'saya', 'kencang']","['saya', 'buka', 'netflix', 'masi', 'aman', 'banget', 'namun', 'ketika', 'saya', 'ingin', 'menonton', 'dia', 'load', 'teru', 'padah', 'paket', 'data', 'saya', 'kencang']",saya buka netflix masi aman banget namun ketika saya ingin menonton dia load teru padah paket data saya kencang,"[('saya', 'buka'), ('buka', 'netflix'), ('netflix', 'masi'), ('masi', 'aman'), ('aman', 'banget'), ('banget', 'namun'), ('namun', 'ketika'), ('ketika', 'saya'), ('saya', 'ingin'), ('ingin', 'menonton'), ('menonton', 'dia'), ('dia', 'load'), ('load', 'teru'), ('teru', 'padah'), ('padah', 'paket'), ('paket', 'data'), ('data', 'saya'), ('saya', 'kencang')]","[('saya', 'buka', 'netflix'), ('buka', 'netflix', 'masi'), ('netflix', 'masi', 'aman'), ('masi', 'aman', 'banget'), ('aman', 'banget', 'namun'), ('banget', 'namun', 'ketika'), ('namun', 'ketika', 'saya'), ('ketika', 'saya', 'ingin'), ('saya', 'ingin', 'menonton'), ('ingin', 'menonton', 'dia'), ('menonton', 'dia', 'load'), ('dia', 'load', 'teru'), ('load', 'teru', 'padah'), ('teru', 'padah', 'paket'), ('padah', 'paket', 'data'), ('paket', 'data', 'saya'), ('data', 'saya', 'kencang')]"
Rei,3,aku udah login dan udah bayar juga tapi ga bisa masuk ke akun nya harus daftar ulang dan uang aku hilang gitu aja jujur kecewa sih sama Netflix aku kira ini apk yang bagus ternyata aku salah Netflix ku udah aku uninstall dan ya uang aku hilang padahal aku belum nonton sama sekali jujur kecewa banget,2025-09-26 08:25:40,,0,4b92b8d6-832f-4bed-ae24-f053891c94a3,aku udah login dan udah bayar juga tapi ga bisa masuk ke akun nya harus daftar ulang dan uang aku hilang gitu aja jujur kecewa sih sama netflix aku kira ini apk yang bagus ternyata aku salah netflix ku udah aku uninstall dan ya uang aku hilang padahal aku belum nonton sama sekali jujur kecewa banget,"['aku', 'udah', 'login', 'dan', 'udah', 'bayar', 'juga', 'tapi', 'ga', 'bisa', 'masuk', 'ke', 'akun', 'nya', 'harus', 'daftar', 'ulang', 'dan', 'uang', 'aku', 'hilang', 'gitu', 'aja', 'jujur', 'kecewa', 'sih', 'sama', 'Netflix', 'aku', 'kira', 'ini', 'apk', 'yang', 'bagus', 'ternyata', 'aku', 'salah', 'Netflix', 'ku', 'udah', 'aku', 'uninstall', 'dan', 'ya', 'uang', 'aku', 'hilang', 'padahal', 'aku', 'belum', 'nonton', 'sama', 'sekali', 'jujur', 'kecewa', 'banget']","['aku', 'udah', 'login', 'dan', 'udah', 'bayar', 'juga', 'tapi', 'ga', 'bisa', 'masuk', 'ke', 'akun', 'nya', 'haru', 'daftar', 'ulang', 'dan', 'uang', 'aku', 'hilang', 'gitu', 'aja', 'jujur', 'kecewa', 'sih', 'sama', 'netflix', 'aku', 'kira', 'ini', 'apk', 'yang', 'bagu', 'ternyata', 'aku', 'salah', 'netflix', 'ku', 'udah', 'aku', 'uninstal', 'dan', 'ya', 'uang', 'aku', 'hilang', 'padah', 'aku', 'belum', 'nonton', 'sama', 'sekali', 'jujur', 'kecewa', 'banget']","['aku', 'udah', 'login', 'dan', 'udah', 'bayar', 'juga', 'tapi', 'ga', 'bisa', 'masuk', 'ke', 'akun', 'nya', 'haru', 'daftar', 'ulang', 'dan', 'uang', 'aku', 'hilang', 'gitu', 'aja', 'jujur', 'kecewa', 'sih', 'sama', 'netflix', 'aku', 'kira', 'ini', 'apk', 'yang', 'bagu', 'ternyata', 'aku', 'salah', 'netflix', 'ku', 'udah', 'aku', 'uninstal', 'dan', 'ya', 'uang', 'aku', 'hilang', 'padah', 'aku', 'belum', 'nonton', 'sama', 'sekali', 'jujur', 'kecewa', 'banget']",aku udah login dan udah bayar juga tapi bisa masuk akun nya haru daftar ulang dan uang aku hilang gitu aja jujur kecewa sih sama netflix aku kira ini apk yang bagu ternyata aku salah netflix udah aku uninstal dan uang aku hilang padah aku belum nonton sama sekali jujur kecewa banget,"[('aku', 'udah'), ('udah', 'login'), ('login', 'dan'), ('dan', 'udah'), ('udah', 'bayar'), ('bayar', 'juga'), ('juga', 'tapi'), ('tapi', 'ga'), ('ga', 'bisa'), ('bisa', 'masuk'), ('masuk', 'ke'), ('ke', 'akun'), ('akun', 'nya'), ('nya', 'haru'), ('haru', 'daftar'), ('daftar', 'ulang'), ('ulang', 'dan'), ('dan', 'uang'), ('uang', 'aku'), ('aku', 'hilang'), ('hilang', 'gitu'), ('gitu', 'aja'), ('aja', 'jujur'), ('jujur', 'kecewa'), ('kecewa', 'sih'), ('sih', 'sama'), ('sama', 'netflix'), ('netflix', 'aku'), ('aku', 'kira'), ('kira', 'ini'), ('ini', 'apk'), ('apk', 'yang'), ('yang', 'bagu'), ('bagu', 'ternyata'), ('ternyata', 'aku'), ('aku', 'salah'), ('salah', 'netflix'), ('netflix', 'ku'), ('ku', 'udah'), ('udah', 'aku'), ('aku', 'uninstal'), ('uninstal', 'dan'), ('dan', 'ya'), ('ya', 'uang'), ('uang', 'aku'), ('aku', 'hilang'), ('hilang', 'padah'), ('padah', 'aku'), ('aku', 'belum'), ('belum', 'nonton'), ('nonton', 'sama'), ('sama', 'sekali'), ('sekali', 'jujur'), ('jujur', 'kecewa'), ('kecewa', 'banget')]","[('aku', 'udah', 'login'), ('udah', 'login', 'dan'), ('login', 'dan', 'udah'), ('dan', 'udah', 'bayar'), ('udah', 'bayar', 'juga'), ('bayar', 'juga', 'tapi'), ('juga', 'tapi', 'ga'), ('tapi', 'ga', 'bisa'), ('ga', 'bisa', 'masuk'), ('bisa', 'masuk', 'ke'), ('masuk', 'ke', 'akun'), ('ke', 'akun', 'nya'), ('akun', 'nya', 'haru'), ('nya', 'haru', 'daftar'), ('haru', 'daftar', 'ulang'), ('daftar', 'ulang', 'dan'), ('ulang', 'dan', 'uang'), ('dan', 'uang', 'aku'), ('uang', 'aku', 'hilang'), ('aku', 'hilang', 'gitu'), ('hilang', 'gitu', 'aja'), ('gitu', 'aja', 'jujur'), ('aja', 'jujur', 'kecewa'), ('jujur', 'kecewa', 'sih'), ('kecewa', 'sih', 'sama'), ('sih', 'sama', 'netflix'), ('sama', 'netflix', 'aku'), ('netflix', 'aku', 'kira'), ('aku', 'kira', 'ini'), ('kira', 'ini', 'apk'), ('ini', 'apk', 'yang'), ('apk', 'yang', 'bagu'), ('yang', 'bagu', 'ternyata'), ('bagu', 'ternyata', 'aku'), ('ternyata', 'aku', 'salah'), ('aku', 'salah', 'netflix'), ('salah', 'netflix', 'ku'), ('netflix', 'ku', 'udah'), ('ku', 'udah', 'aku'), ('udah', 'aku', 'uninstal'), ('aku', 'uninstal', 'dan'), ('uninstal', 'dan', 'ya'), ('dan', 'ya', 'uang'), ('ya', 'uang', 'aku'), ('uang', 'aku', 'hilang'), ('aku', 'hilang', 'padah'), ('hilang', 'padah', 'aku'), ('padah', 'aku', 'belum'), ('aku', 'belum', 'nonton'), ('belum', 'nonton', 'sama'), ('nonton', 'sama', 'sekali'), ('sama', 'sekali', 'jujur'), ('sekali', 'jujur', 'kecewa'), ('jujur', 'kecewa', 'banget')]"
asoe asoe,1,nonton di hp harus make data. ga bisa make wifi. di download bisa. ketika di putar ga bisa . harga berlangganan mahal tetapi ga sudai dengan aplikasi yg bobrok,2025-09-26 04:03:13,,0,00b5409d-a617-4c9c-9287-ac9d58032d00,nonton di hp harus make data. ga bisa make wifi. di download bisa. ketika di putar ga bisa . harga berlangganan mahal tetapi ga sudai dengan aplikasi yg bobrok,"['nonton', 'di', 'hp', 'harus', 'make', 'data', '.', 'ga', 'bisa', 'make', 'wifi', '.', 'di', 'download', 'bisa', '.', 'ketika', 'di', 'putar', 'ga', 'bisa', '.', 'harga', 'berlangganan', 'mahal', 'tetapi', 'ga', 'sudai', 'dengan', 'aplikasi', 'yg', 'bobrok']","['nonton', 'di', 'hp', 'haru', 'make', 'data', '.', 'ga', 'bisa', 'make', 'wifi', '.', 'di', 'download', 'bisa', '.', 'ketika', 'di', 'putar', 'ga', 'bisa', '.', 'harga', 'berlangganan', 'mahal', 'tetapi', 'ga', 'sudai', 'dengan', 'aplikasi', 'yg', 'bobrok']","['nonton', 'di', 'hp', 'haru', 'make', 'data', 'ga', 'bisa', 'make', 'wifi', 'di', 'download', 'bisa', 'ketika', 'di', 'putar', 'ga', 'bisa', 'harga', 'berlangganan', 'mahal', 'tetapi', 'ga', 'sudai', 'dengan', 'aplikasi', 'yg', 'bobrok']",nonton haru make data bisa make wifi download bisa ketika putar bisa harga berlangganan mahal tetapi sudai dengan aplikasi bobrok,"[('nonton', 'di'), ('di', 'hp'), ('hp', 'haru'), ('haru', 'make'), ('make', 'data'), ('data', 'ga'), ('ga', 'bisa'), ('bisa', 'make'), ('make', 'wifi'), ('wifi', 'di'), ('di', 'download'), ('download', 'bisa'), ('bisa', 'ketika'), ('ketika', 'di'), ('di', 'putar'), ('putar', 'ga'), ('ga', 'bisa'), ('bisa', 'harga'), ('harga', 'berlangganan'), ('berlangganan', 'mahal'), ('mahal', 'tetapi'), ('tetapi', 'ga'), ('ga', 'sudai'), ('sudai', 'dengan'), ('dengan', 'aplikasi'), ('aplikasi', 'yg'), ('yg', 'bobrok')]","[('nonton', 'di', 'hp'), ('di', 'hp', 'haru'), ('hp', 'haru', 'make'), ('haru', 'make', 'data'), ('make', 'data', 'ga'), ('data', 'ga', 'bisa'), ('ga', 'bisa', 'make'), ('bisa', 'make', 'wifi'), ('make', 'wifi', 'di'), ('wifi', 'di', 'download'), ('di', 'download', 'bisa'), ('download', 'bisa', 'ketika'), ('bisa', 'ketika', 'di'), ('ketika', 'di', 'putar'), ('di', 'putar', 'ga'), ('putar', 'ga', 'bisa'), ('ga', 'bisa', 'harga'), ('bisa', 'harga', 'berlangganan'), ('harga', 'berlangganan', 'mahal'), ('berlangganan', 'mahal', 'tetapi'), ('mahal', 'tetapi', 'ga'), ('tetapi', 'ga', 'sudai'), ('ga', 'sudai', 'dengan'), ('sudai', 'dengan', 'aplikasi'), ('dengan', 'aplikasi', 'yg'), ('aplikasi', 'yg', 'bobrok')]"
Darwis Dqueen72,4,halo dengan saya pengguna netflix ini ad masalah di sambungan di tv ko gangguan padahal sudah langganan . tolong di perbarui .,2025-09-26 03:04:44,,0,b7380c13-ca0d-4009-b1a5-76215299a2f6,halo dengan saya pengguna netflix ini ad masalah di sambungan di tv ko gangguan padahal sudah langganan . tolong di perbarui .,"['halo', 'dengan', 'saya', 'pengguna', 'netflix', 'ini', 'ad', 'masalah', 'di', 'sambungan', 'di', 'tv', 'ko', 'gangguan', 'padahal', 'sudah', 'langganan', '.', 'tolong', 'di', 'perbarui', '.']","['halo', 'dengan', 'saya', 'pengguna', 'netflix', 'ini', 'ad', 'masalah', 'di', 'sambungan', 'di', 'tv', 'ko', 'gangguan', 'padah', 'sudah', 'langganan', '.', 'tolong', 'di', 'perbarui', '.']","['halo', 'dengan', 'saya', 'pengguna', 'netflix', 'ini', 'ad', 'masalah', 'di', 'sambungan', 'di', 'tv', 'ko', 'gangguan', 'padah', 'sudah', 'langganan', 'tolong', 'di', 'perbarui']",halo dengan saya pengguna netflix ini masalah sambungan gangguan padah sudah langganan tolong perbarui,"[('halo', 'dengan'), ('dengan', 'saya'), ('saya', 'pengguna'), ('pengguna', 'netflix'), ('netflix', 'ini'), ('ini', 'ad'), ('ad', 'masalah'), ('masalah', 'di'), ('di', 'sambungan'), ('sambungan', 'di'), ('di', 'tv'), ('tv', 'ko'), ('ko', 'gangguan'), ('gangguan', 'padah'), ('padah', 'sudah'), ('sudah', 'langganan'), ('langganan', 'tolong'), ('tolong', 'di'), ('di', 'perbarui')]","[('halo', 'dengan', 'saya'), ('dengan', 'saya', 'pengguna'), ('saya', 'pengguna', 'netflix'), ('pengguna', 'netflix', 'ini'), ('netflix', 'ini', 'ad'), ('ini', 'ad', 'masalah'), ('ad', 'masalah', 'di'), ('masalah', 'di', 'sambungan'), ('di', 'sambungan', 'di'), ('sambungan', 'di', 'tv'), ('di', 'tv', 'ko'), ('tv', 'ko', 'gangguan'), ('ko', 'gangguan', 'padah'), ('gangguan', 'padah', 'sudah'), ('padah', 'sudah', 'langganan'), ('sudah', 'langganan', 'tolong'), ('langganan', 'tolong', 'di'), ('tolong', 'di', 'perbarui')]"
Kartika Sari,1,filmnya sikit kali.,2025-09-26 02:48:53,,0,c64ed074-62bf-4fca-856c-fe432c4279e9,filmnya sikit kali.,"['filmnya', 'sikit', 'kali', '.']","['filmnya', 'sikit', 'kali', '.']","['filmnya', 'sikit', 'kali']",filmnya sikit kali,"[('filmnya', 'sikit'), ('sikit', 'kali')]","[('filmnya', 'sikit', 'kali')]"
Muhamad Khairurizal,5,sangat baguss sekali 🔥🔥🔥,2025-09-26 01:46:01,,0,8efd576c-2598-4c81-9529-d87f87c8e2c4,sangat baguss sekali 🔥🔥🔥,"['sangat', 'baguss', 'sekali', '🔥🔥🔥']","['sangat', 'baguss', 'sekali', '🔥🔥🔥']","['sangat', 'baguss', 'sekali']",sangat baguss sekali,"[('sangat', 'baguss'), ('baguss', 'sekali')]","[('sangat', 'baguss', 'sekali')]"
Nur Sa'adah,2,Sering banget ke log out otomatis sewaktu digunakan. Mau log in kembali error.,2025-09-26 01:29:40,,0,e3aadd0c-e679-4525-b959-a7a2df38ad9b,sering banget ke log out otomatis sewaktu digunakan. mau log in kembali error.,"['Sering', 'banget', 'ke', 'log', 'out', 'otomatis', 'sewaktu', 'digunakan', '.', 'Mau', 'log', 'in', 'kembali', 'error', '.']","['sere', 'banget', 'ke', 'log', 'out', 'otomati', 'sewaktu', 'digunakan', '.', 'mau', 'log', 'in', 'kembali', 'error', '.']","['sere', 'banget', 'ke', 'log', 'otomati', 'sewaktu', 'digunakan', 'mau', 'log', 'kembali', 'error']",sere banget log otomati sewaktu digunakan mau log kembali error,"[('sere', 'banget'), ('banget', 'ke'), ('ke', 'log'), ('log', 'otomati'), ('otomati', 'sewaktu'), ('sewaktu', 'digunakan'), ('digunakan', 'mau'), ('mau', 'log'), ('log', 'kembali'), ('kembali', 'error')]","[('sere', 'banget', 'ke'), ('banget', 'ke', 'log'), ('ke', 'log', 'otomati'), ('log', 'otomati', 'sewaktu'), ('otomati', 'sewaktu', 'digunakan'), ('sewaktu', 'digunakan', 'mau'), ('digunakan', 'mau', 'log'), ('mau', 'log', 'kembali'), ('log', 'kembali', 'error')]"
Bibik Bik,5,aku suka bgtt karna ada KPop demon Hunter jadi walaupun gak banyak tapi gpp 😀,2025-09-25 22:41:11,,0,9ece0724-3105-4f53-83cd-02825827868a,aku suka bgtt karna ada kpop demon hunter jadi walaupun gak banyak tapi gpp 😀,"['aku', 'suka', 'bgtt', 'karna', 'ada', 'KPop', 'demon', 'Hunter', 'jadi', 'walaupun', 'gak', 'banyak', 'tapi', 'gpp', '😀']","['aku', 'suka', 'bgtt', 'karna', 'ada', 'kpop', 'demon', 'hunter', 'jadi', 'walaupun', 'gak', 'banyak', 'tapi', 'gpp', '😀']","['aku', 'suka', 'bgtt', 'karna', 'ada', 'kpop', 'demon', 'hunter', 'jadi', 'walaupun', 'gak', 'banyak', 'tapi', 'gpp']",aku suka bgtt karna ada kpop demon hunter jadi walaupun gak banyak tapi gpp,"[('aku', 'suka'), ('suka', 'bgtt'), ('bgtt', 'karna'), ('karna', 'ada'), ('ada', 'kpop'), ('kpop', 'demon'), ('demon', 'hunter'), ('hunter', 'jadi'), ('jadi', 'walaupun'), ('walaupun', 'gak'), ('gak', 'banyak'), ('banyak', 'tapi'), ('tapi', 'gpp')]","[('aku', 'suka', 'bgtt'), ('suka', 'bgtt', 'karna'), ('bgtt', 'karna', 'ada'), ('karna', 'ada', 'kpop'), ('ada', 'kpop', 'demon'), ('kpop', 'demon', 'hunter'), ('demon', 'hunter', 'jadi'), ('hunter', 'jadi', 'walaupun'), ('jadi', 'walaupun', 'gak'), ('walaupun', 'gak', 'banyak'), ('gak', 'banyak', 'tapi'), ('banyak', 'tapi', 'gpp')]"
abi ummy,4,lumayan utk di tonton klo BS ada tv online juga supaya bintang nya full,2025-09-25 21:24:28,,0,9ab03236-d9fb-4746-809b-98ed42675c6b,lumayan utk di tonton klo bs ada tv online juga supaya bintang nya full,"['lumayan', 'utk', 'di', 'tonton', 'klo', 'BS', 'ada', 'tv', 'online', 'juga', 'supaya', 'bintang', 'nya', 'full']","['lumayan', 'utk', 'di', 'tonton', 'klo', 'bs', 'ada', 'tv', 'onlin', 'juga', 'supaya', 'bintang', 'nya', 'full']","['lumayan', 'utk', 'di', 'tonton', 'klo', 'bs', 'ada', 'tv', 'onlin', 'juga', 'supaya', 'bintang', 'nya', 'full']",lumayan utk tonton klo ada onlin juga supaya bintang nya full,"[('lumayan', 'utk'), ('utk', 'di'), ('di', 'tonton'), ('tonton', 'klo'), ('klo', 'bs'), ('bs', 'ada'), ('ada', 'tv'), ('tv', 'onlin'), ('onlin', 'juga'), ('juga', 'supaya'), ('supaya', 'bintang'), ('bintang', 'nya'), ('nya', 'full')]","[('lumayan', 'utk', 'di'), ('utk', 'di', 'tonton'), ('di', 'tonton', 'klo'), ('tonton', 'klo', 'bs'), ('klo', 'bs', 'ada'), ('bs', 'ada', 'tv'), ('ada', 'tv', 'onlin'), ('tv', 'onlin', 'juga'), ('onlin', 'juga', 'supaya'), ('juga', 'supaya', 'bintang'), ('supaya', 'bintang', 'nya'), ('bintang', 'nya', 'full')]"
Ghifa Ghifi,1,"apa ini,kok gak bisa bisa login padahal sudah buat akun,malah gak ke detek,gimana ni developer buat yang ngotak lah,apl gak bisa digunakan kenapa di promosikan,dasarrr developerrrr!!!!!!!!!",2025-09-25 16:05:01,,15,d0291218-159f-469e-a6d2-8e59544faa08,"apa ini,kok gak bisa bisa login padahal sudah buat akun,malah gak ke detek,gimana ni developer buat yang ngotak lah,apl gak bisa digunakan kenapa di promosikan,dasarrr developerrrr!!!!!!!!!","['apa', 'ini', ',', 'kok', 'gak', 'bisa', 'bisa', 'login', 'padahal', 'sudah', 'buat', 'akun', ',', 'malah', 'gak', 'ke', 'detek', ',', 'gimana', 'ni', 'developer', 'buat', 'yang', 'ngotak', 'lah', ',', 'apl', 'gak', 'bisa', 'digunakan', 'kenapa', 'di', 'promosikan', ',', 'dasarrr', 'developerrrr', '!', '!', '!', '!', '!', '!', '!', '!', '!']","['apa', 'ini', ',', 'kok', 'gak', 'bisa', 'bisa', 'login', 'padah', 'sudah', 'buat', 'akun', ',', 'malah', 'gak', 'ke', 'detek', ',', 'gimana', 'ni', 'develop', 'buat', 'yang', 'ngotak', 'lah', ',', 'apl', 'gak', 'bisa', 'digunakan', 'kenapa', 'di', 'promosikan', ',', 'dasarrr', 'developerrrr', '!', '!', '!', '!', '!', '!', '!', '!', '!']","['apa', 'ini', 'kok', 'gak', 'bisa', 'bisa', 'login', 'padah', 'sudah', 'buat', 'akun', 'malah', 'gak', 'ke', 'detek', 'gimana', 'ni', 'develop', 'buat', 'yang', 'ngotak', 'lah', 'apl', 'gak', 'bisa', 'digunakan', 'kenapa', 'di', 'promosikan', 'dasarrr', 'developerrrr']",apa ini kok gak bisa bisa login padah sudah buat akun malah gak detek gimana develop buat yang ngotak lah apl gak bisa digunakan kenapa promosikan dasarrr developerrrr,"[('apa', 'ini'), ('ini', 'kok'), ('kok', 'gak'), ('gak', 'bisa'), ('bisa', 'bisa'), ('bisa', 'login'), ('login', 'padah'), ('padah', 'sudah'), ('sudah', 'buat'), ('buat', 'akun'), ('akun', 'malah'), ('malah', 'gak'), ('gak', 'ke'), ('ke', 'detek'), ('detek', 'gimana'), ('gimana', 'ni'), ('ni', 'develop'), ('develop', 'buat'), ('buat', 'yang'), ('yang', 'ngotak'), ('ngotak', 'lah'), ('lah', 'apl'), ('apl', 'gak'), ('gak', 'bisa'), ('bisa', 'digunakan'), ('digunakan', 'kenapa'), ('kenapa', 'di'), ('di', 'promosikan'), ('promosikan', 'dasarrr'), ('dasarrr', 'developerrrr')]","[('apa', 'ini', 'kok'), ('ini', 'kok', 'gak'), ('kok', 'gak', 'bisa'), ('gak', 'bisa', 'bisa'), ('bisa', 'bisa', 'login'), ('bisa', 'login', 'padah'), ('login', 'padah', 'sudah'), ('padah', 'sudah', 'buat'), ('sudah', 'buat', 'akun'), ('buat', 'akun', 'malah'), ('akun', 'malah', 'gak'), ('malah', 'gak', 'ke'), ('gak', 'ke', 'detek'), ('ke', 'detek', 'gimana'), ('detek', 'gimana', 'ni'), ('gimana', 'ni', 'develop'), ('ni', 'develop', 'buat'), ('develop', 'buat', 'yang'), ('buat', 'yang', 'ngotak'), ('yang', 'ngotak', 'lah'), ('ngotak', 'lah', 'apl'), ('lah', 'apl', 'gak'), ('apl', 'gak', 'bisa'), ('gak', 'bisa', 'digunakan'), ('bisa', 'digunakan', 'kenapa'), ('digunakan', 'kenapa', 'di'), ('kenapa', 'di', 'promosikan'), ('di', 'promosikan', 'dasarrr'), ('promosikan', 'dasarrr', 'developerrrr')]"
Gilang Rahadian Permana,1,"kualitas gambar ga bisa di atur langsung kaya dulu, penurunan kah?",2025-09-25 15:12:37,,0,f691b760-15aa-47f2-a6d0-d65aa269d954,"kualitas gambar ga bisa di atur langsung kaya dulu, penurunan kah?","['kualitas', 'gambar', 'ga', 'bisa', 'di', 'atur', 'langsung', 'kaya', 'dulu', ',', 'penurunan', 'kah', '?']","['kualita', 'gambar', 'ga', 'bisa', 'di', 'atur', 'langsung', 'kaya', 'dulu', ',', 'penurunan', 'kah', '?']","['kualita', 'gambar', 'ga', 'bisa', 'di', 'atur', 'langsung', 'kaya', 'dulu', 'penurunan', 'kah']",kualita gambar bisa atur langsung kaya dulu penurunan kah,"[('kualita', 'gambar'), ('gambar', 'ga'), ('ga', 'bisa'), ('bisa', 'di'), ('di', 'atur'), ('atur', 'langsung'), ('langsung', 'kaya'), ('kaya', 'dulu'), ('dulu', 'penurunan'), ('penurunan', 'kah')]","[('kualita', 'gambar', 'ga'), ('gambar', 'ga', 'bisa'), ('ga', 'bisa', 'di'), ('bisa', 'di', 'atur'), ('di', 'atur', 'langsung'), ('atur', 'langsung', 'kaya'), ('langsung', 'kaya', 'dulu'), ('kaya', 'dulu', 'penurunan'), ('dulu', 'penurunan', 'kah')]"
