Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan,Case Folding,Tokens,Stemmed,Filtered,Filtered_Text,Bigrams,Trigrams
Hera Yunata,5,Mantap,2025-10-06 05:47:15,,0,39370f7f-d453-486b-b2c2-9d7267e9916a,mantap,['Mantap'],['mantap'],['mantap'],mantap,[],[]
Martin,1,"kok ga bisa streaming ya ? check jaringan oke, wifi lancar, video muter2, sudah selesai muter tidak muncul2 videonya?? makin ga jelas apk",2025-10-06 05:46:24,,0,2971ef2b-ad7d-4b82-9629-b8110718567a,"kok ga bisa streaming ya ? check jaringan oke, wifi lancar, video muter2, sudah selesai muter tidak muncul2 videonya?? makin ga jelas apk","['kok', 'ga', 'bisa', 'streaming', 'ya', '?', 'check', 'jaringan', 'oke', ',', 'wifi', 'lancar', ',', 'video', 'muter2', ',', 'sudah', 'selesai', 'muter', 'tidak', 'muncul2', 'videonya', '?', '?', 'makin', 'ga', 'jelas', 'apk']","['kok', 'ga', 'bisa', 'stream', 'ya', '?', 'check', 'jaringan', 'oke', ',', 'wifi', 'lancar', ',', 'video', 'muter2', ',', 'sudah', 'selesai', 'muter', 'tidak', 'muncul2', 'videonya', '?', '?', 'makin', 'ga', 'jela', 'apk']","['kok', 'ga', 'bisa', 'stream', 'ya', 'check', 'jaringan', 'oke', 'wifi', 'lancar', 'video', 'muter2', 'sudah', 'selesai', 'muter', 'tidak', 'muncul2', 'videonya', 'makin', 'ga', 'jela', 'apk']",kok bisa stream check jaringan oke wifi lancar video muter2 sudah selesai muter tidak muncul2 videonya makin jela apk,"[('kok', 'ga'), ('ga', 'bisa'), ('bisa', 'stream'), ('stream', 'ya'), ('ya', 'check'), ('check', 'jaringan'), ('jaringan', 'oke'), ('oke', 'wifi'), ('wifi', 'lancar'), ('lancar', 'video'), ('video', 'muter2'), ('muter2', 'sudah'), ('sudah', 'selesai'), ('selesai', 'muter'), ('muter', 'tidak'), ('tidak', 'muncul2'), ('muncul2', 'videonya'), ('videonya', 'makin'), ('makin', 'ga'), ('ga', 'jela'), ('jela', 'apk')]","[('kok', 'ga', 'bisa'), ('ga', 'bisa', 'stream'), ('bisa', 'stream', 'ya'), ('stream', 'ya', 'check'), ('ya', 'check', 'jaringan'), ('check', 'jaringan', 'oke'), ('jaringan', 'oke', 'wifi'), ('oke', 'wifi', 'lancar'), ('wifi', 'lancar', 'video'), ('lancar', 'video', 'muter2'), ('video', 'muter2', 'sudah'), ('muter2', 'sudah', 'selesai'), ('sudah', 'selesai', 'muter'), ('selesai', 'muter', 'tidak'), ('muter', 'tidak', 'muncul2'), ('tidak', 'muncul2', 'videonya'), ('muncul2', 'videonya', 'makin'), ('videonya', 'makin', 'ga'), ('makin', 'ga', 'jela'), ('ga', 'jela', 'apk')]"
M. Rifki Ferdiansyah,5,"Tambahin fitur tonton nanti dong min, fitur daftar saya pantesnya cuman buat film yang favorite banget filmnya",2025-10-06 03:58:28,,0,0ef3191c-efda-421a-94ac-663dddd564f8,"tambahin fitur tonton nanti dong min, fitur daftar saya pantesnya cuman buat film yang favorite banget filmnya","['Tambahin', 'fitur', 'tonton', 'nanti', 'dong', 'min', ',', 'fitur', 'daftar', 'saya', 'pantesnya', 'cuman', 'buat', 'film', 'yang', 'favorite', 'banget', 'filmnya']","['tambahin', 'fitur', 'tonton', 'nanti', 'dong', 'min', ',', 'fitur', 'daftar', 'saya', 'pantesnya', 'cuman', 'buat', 'film', 'yang', 'favorit', 'banget', 'filmnya']","['tambahin', 'fitur', 'tonton', 'nanti', 'dong', 'min', 'fitur', 'daftar', 'saya', 'pantesnya', 'cuman', 'buat', 'film', 'yang', 'favorit', 'banget', 'filmnya']",tambahin fitur tonton nanti dong min fitur daftar saya pantesnya cuman buat film yang favorit banget filmnya,"[('tambahin', 'fitur'), ('fitur', 'tonton'), ('tonton', 'nanti'), ('nanti', 'dong'), ('dong', 'min'), ('min', 'fitur'), ('fitur', 'daftar'), ('daftar', 'saya'), ('saya', 'pantesnya'), ('pantesnya', 'cuman'), ('cuman', 'buat'), ('buat', 'film'), ('film', 'yang'), ('yang', 'favorit'), ('favorit', 'banget'), ('banget', 'filmnya')]","[('tambahin', 'fitur', 'tonton'), ('fitur', 'tonton', 'nanti'), ('tonton', 'nanti', 'dong'), ('nanti', 'dong', 'min'), ('dong', 'min', 'fitur'), ('min', 'fitur', 'daftar'), ('fitur', 'daftar', 'saya'), ('daftar', 'saya', 'pantesnya'), ('saya', 'pantesnya', 'cuman'), ('pantesnya', 'cuman', 'buat'), ('cuman', 'buat', 'film'), ('buat', 'film', 'yang'), ('film', 'yang', 'favorit'), ('yang', 'favorit', 'banget'), ('favorit', 'banget', 'filmnya')]"
Habiburrahman Elshirazyyy,1,"aneh banget, tiba tiba saldo saya terpotong dan transaksi munujukan berlangganan dengan netflix, saya tidak pernah pakai netflix, tidak punya akun, kenapa saldo saya bisa terpotong tiba tiba, ANEH BANGET",2025-10-06 03:12:45,,0,37087e76-a1af-4d75-82b1-3f430a2542bc,"aneh banget, tiba tiba saldo saya terpotong dan transaksi munujukan berlangganan dengan netflix, saya tidak pernah pakai netflix, tidak punya akun, kenapa saldo saya bisa terpotong tiba tiba, aneh banget","['aneh', 'banget', ',', 'tiba', 'tiba', 'saldo', 'saya', 'terpotong', 'dan', 'transaksi', 'munujukan', 'berlangganan', 'dengan', 'netflix', ',', 'saya', 'tidak', 'pernah', 'pakai', 'netflix', ',', 'tidak', 'punya', 'akun', ',', 'kenapa', 'saldo', 'saya', 'bisa', 'terpotong', 'tiba', 'tiba', ',', 'ANEH', 'BANGET']","['aneh', 'banget', ',', 'tiba', 'tiba', 'saldo', 'saya', 'terpotong', 'dan', 'transaksi', 'munujukan', 'berlangganan', 'dengan', 'netflix', ',', 'saya', 'tidak', 'pernah', 'pakai', 'netflix', ',', 'tidak', 'punya', 'akun', ',', 'kenapa', 'saldo', 'saya', 'bisa', 'terpotong', 'tiba', 'tiba', ',', 'aneh', 'banget']","['aneh', 'banget', 'tiba', 'tiba', 'saldo', 'saya', 'terpotong', 'dan', 'transaksi', 'munujukan', 'berlangganan', 'dengan', 'netflix', 'saya', 'tidak', 'pernah', 'pakai', 'netflix', 'tidak', 'punya', 'akun', 'kenapa', 'saldo', 'saya', 'bisa', 'terpotong', 'tiba', 'tiba', 'aneh', 'banget']",aneh banget tiba tiba saldo saya terpotong dan transaksi munujukan berlangganan dengan netflix saya tidak pernah pakai netflix tidak punya akun kenapa saldo saya bisa terpotong tiba tiba aneh banget,"[('aneh', 'banget'), ('banget', 'tiba'), ('tiba', 'tiba'), ('tiba', 'saldo'), ('saldo', 'saya'), ('saya', 'terpotong'), ('terpotong', 'dan'), ('dan', 'transaksi'), ('transaksi', 'munujukan'), ('munujukan', 'berlangganan'), ('berlangganan', 'dengan'), ('dengan', 'netflix'), ('netflix', 'saya'), ('saya', 'tidak'), ('tidak', 'pernah'), ('pernah', 'pakai'), ('pakai', 'netflix'), ('netflix', 'tidak'), ('tidak', 'punya'), ('punya', 'akun'), ('akun', 'kenapa'), ('kenapa', 'saldo'), ('saldo', 'saya'), ('saya', 'bisa'), ('bisa', 'terpotong'), ('terpotong', 'tiba'), ('tiba', 'tiba'), ('tiba', 'aneh'), ('aneh', 'banget')]","[('aneh', 'banget', 'tiba'), ('banget', 'tiba', 'tiba'), ('tiba', 'tiba', 'saldo'), ('tiba', 'saldo', 'saya'), ('saldo', 'saya', 'terpotong'), ('saya', 'terpotong', 'dan'), ('terpotong', 'dan', 'transaksi'), ('dan', 'transaksi', 'munujukan'), ('transaksi', 'munujukan', 'berlangganan'), ('munujukan', 'berlangganan', 'dengan'), ('berlangganan', 'dengan', 'netflix'), ('dengan', 'netflix', 'saya'), ('netflix', 'saya', 'tidak'), ('saya', 'tidak', 'pernah'), ('tidak', 'pernah', 'pakai'), ('pernah', 'pakai', 'netflix'), ('pakai', 'netflix', 'tidak'), ('netflix', 'tidak', 'punya'), ('tidak', 'punya', 'akun'), ('punya', 'akun', 'kenapa'), ('akun', 'kenapa', 'saldo'), ('kenapa', 'saldo', 'saya'), ('saldo', 'saya', 'bisa'), ('saya', 'bisa', 'terpotong'), ('bisa', 'terpotong', 'tiba'), ('terpotong', 'tiba', 'tiba'), ('tiba', 'tiba', 'aneh'), ('tiba', 'aneh', 'banget')]"
Alpian,1,jangan download aplikasi ngk jelas,2025-10-06 00:00:11,,0,256d7f63-eb50-4442-96bc-866ffc7c2610,jangan download aplikasi ngk jelas,"['jangan', 'download', 'aplikasi', 'ngk', 'jelas']","['jangan', 'download', 'aplikasi', 'ngk', 'jela']","['jangan', 'download', 'aplikasi', 'ngk', 'jela']",jangan download aplikasi ngk jela,"[('jangan', 'download'), ('download', 'aplikasi'), ('aplikasi', 'ngk'), ('ngk', 'jela')]","[('jangan', 'download', 'aplikasi'), ('download', 'aplikasi', 'ngk'), ('aplikasi', 'ngk', 'jela')]"
Garou Toriyama,1,trash streaming,2025-10-05 23:34:04,,0,9b3129fb-6e1f-4a65-9740-ca71175044b2,trash streaming,"['trash', 'streaming']","['trash', 'stream']","['trash', 'stream']",trash stream,"[('trash', 'stream')]",[]
Buk Desy,5,Buk dys,2025-10-05 23:01:08,,0,cac03699-6f65-45b9-8383-d3331fb43244,buk dys,"['Buk', 'dys']","['buk', 'dy']","['buk', 'dy']",buk,"[('buk', 'dy')]",[]
Dina maulana,5,ok,2025-10-05 23:00:17,,0,96ea85ab-47ff-44c1-a90e-b8e42e811533,ok,['ok'],['ok'],['ok'],,[],[]
Zeefanya Bellia Qeeran Prayogo,5,bagus aja,2025-10-05 16:25:06,,0,0cf265b9-2a79-4e8b-8e1c-6c6b5be577e5,bagus aja,"['bagus', 'aja']","['bagu', 'aja']","['bagu', 'aja']",bagu aja,"[('bagu', 'aja')]",[]
Alfaqir lukman bin Tatang,5,mudah dan update vidionya,2025-10-05 13:07:15,,0,a4bc410d-a3f2-49e8-9d2c-5725ba54ea01,mudah dan update vidionya,"['mudah', 'dan', 'update', 'vidionya']","['mudah', 'dan', 'updat', 'vidionya']","['mudah', 'dan', 'updat', 'vidionya']",mudah dan updat vidionya,"[('mudah', 'dan'), ('dan', 'updat'), ('updat', 'vidionya')]","[('mudah', 'dan', 'updat'), ('dan', 'updat', 'vidionya')]"
